Province,Commodity,Phase,Price,Date,CommodityType
Quezon,"RICE, SPECIAL",First Phase Jul 2024,57.0,2024-07-15,rice
Quezon,"RICE, SPECIAL",Second Phase Jul 2024,57.0,2024-07-30,rice
Quezon,"RICE, WELL MILLED",First Phase Jul 2024,53.5,2024-07-15,rice
Quezon,"RICE, WELL MILLED",Second Phase Jul 2024,53.5,2024-07-30,rice
Quezon,"RICE, REGULAR MILLED",First Phase Jul 2024,50.0,2024-07-15,rice
Quezon,"RICE, REGULAR MILLED",Second Phase Jul 2024,50.0,2024-07-30,rice
Quezon,"BEEF, MEAT WITH BONES",First Phase Jul 2024,380.0,2024-07-15,meat
Quezon,"BEEF, MEAT WITH BONES",Second Phase Jul 2024,380.0,2024-07-30,meat
Quezon,"BEEF, PURE MEAT",First Phase Jul 2024,480.0,2024-07-15,meat
Quezon,"BEEF, PURE MEAT",Second Phase Jul 2024,480.0,2024-07-30,meat
Quezon,"PORK, KASIM",First Phase Jul 2024,340.0,2024-07-15,meat
Quezon,"PORK, KASIM",Second Phase Jul 2024,340.0,2024-07-30,meat
Quezon,"PORK, LIEMPO",First Phase Jul 2024,360.0,2024-07-15,meat
Quezon,"PORK, LIEMPO",Second Phase Jul 2024,350.0,2024-07-30,meat
Quezon,"PORK, MEAT WITH BONES",First Phase Jul 2024,320.0,2024-07-15,meat
Quezon,"PORK, MEAT WITH BONES",Second Phase Jul 2024,320.0,2024-07-30,meat
Quezon,DRESSED CHICKEN,First Phase Jul 2024,220.0,2024-07-15,meat
Quezon,DRESSED CHICKEN,Second Phase Jul 2024,220.0,2024-07-30,meat
Quezon,"CHICKEN EGG, MED. (per piece)",First Phase Jul 2024,7.0,2024-07-15,meat
Quezon,"CHICKEN EGG, MED. (per piece)",Second Phase Jul 2024,7.0,2024-07-30,meat
Quezon,AMPALAYA,First Phase Jul 2024,120.0,2024-07-15,veg
Quezon,AMPALAYA,Second Phase Jul 2024,100.0,2024-07-30,veg
